session_id,intent,steps,repeated_prompts,retention_offers,forced_action,backtracking,survey_required,cancel_attempts,unrelated_action,flow_duration_seconds,label,dark_pattern_type
S001,CANCEL,3,0,0,0,0,false,1,0,42,NORMAL,NONE
S002,CANCEL,4,0,0,0,0,false,1,0,58,NORMAL,NONE
S003,SUBSCRIBE,3,0,0,0,0,false,0,0,35,NORMAL,NONE
S004,DELETE_ACCOUNT,4,0,0,0,0,false,1,0,74,NORMAL,NONE
S005,CHANGE_PLAN,4,0,0,0,0,false,0,0,81,NORMAL,NONE
S006,CHECKOUT,4,0,0,0,0,false,0,0,96,NORMAL,NONE
S007,DECLINE_OFFER,3,0,0,0,0,false,0,0,31,NORMAL,NONE
S008,SUBSCRIBE,5,0,0,0,0,false,0,0,119,NORMAL,NONE
S009,CANCEL,5,1,0,0,0,false,1,0,91,SUSPICIOUS,REPEATED_PROMPTS
S010,CANCEL,5,0,1,0,0,false,1,0,88,SUSPICIOUS,RETENTION_INTERFERENCE
S011,CANCEL,6,0,1,1,0,true,1,1,142,SUSPICIOUS,FORCED_ACTION
S012,CANCEL,6,1,1,0,1,false,2,0,155,SUSPICIOUS,BACKTRACKING
S013,DELETE_ACCOUNT,6,0,0,0,0,false,1,1,171,SUSPICIOUS,OBSTRUCTION
S014,SUBSCRIBE,4,0,0,0,0,false,0,0,67,SUSPICIOUS,EXCESSIVE_STEPS
S015,CHECKOUT,5,0,0,0,0,false,0,1,132,SUSPICIOUS,OBSTRUCTION
S016,CANCEL,7,2,1,1,1,true,2,1,188,DARK_PATTERN,DIFFICULT_CANCELLATION
S017,CANCEL,8,3,2,1,1,true,3,1,231,DARK_PATTERN,DIFFICULT_CANCELLATION
S018,CANCEL,9,2,2,1,2,true,3,1,267,DARK_PATTERN,EXCESSIVE_STEPS
S019,CANCEL,7,3,2,1,0,true,2,1,209,DARK_PATTERN,REPEATED_PROMPTS
S020,CANCEL,6,2,2,1,1,true,2,1,194,DARK_PATTERN,RETENTION_INTERFERENCE
S021,CANCEL,8,1,0,1,2,true,2,1,218,DARK_PATTERN,FORCED_ACTION
S022,CANCEL,6,0,0,0,2,false,2,0,146,DARK_PATTERN,BACKTRACKING
S023,DELETE_ACCOUNT,8,1,0,1,1,true,1,1,245,DARK_PATTERN,OBSTRUCTION
S024,DELETE_ACCOUNT,7,2,0,1,1,false,1,1,221,DARK_PATTERN,OBSTRUCTION
S025,CANCEL,8,2,3,1,1,true,3,1,276,DARK_PATTERN,DIFFICULT_CANCELLATION
S026,SUBSCRIBE,5,2,0,0,0,false,0,1,126,SUSPICIOUS,REPEATED_PROMPTS
S027,SUBSCRIBE,4,0,0,0,0,false,0,1,104,SUSPICIOUS,OBSTRUCTION
S028,CHANGE_PLAN,6,1,1,0,1,false,0,1,163,SUSPICIOUS,BACKTRACKING
S029,CHECKOUT,6,2,0,0,0,false,0,1,151,SUSPICIOUS,REPEATED_PROMPTS
S030,DECLINE_OFFER,5,1,1,0,0,false,1,1,118,SUSPICIOUS,RETENTION_INTERFERENCE
S031,CANCEL,10,4,3,1,2,true,4,1,318,DARK_PATTERN,DIFFICULT_CANCELLATION
S032,CANCEL,8,3,2,1,1,true,3,1,254,DARK_PATTERN,REPEATED_PROMPTS
S033,CANCEL,7,1,3,1,1,true,3,1,243,DARK_PATTERN,RETENTION_INTERFERENCE
S034,CANCEL,9,2,0,1,2,true,3,1,288,DARK_PATTERN,FORCED_ACTION
S035,DELETE_ACCOUNT,9,2,0,1,2,true,2,1,301,DARK_PATTERN,OBSTRUCTION
S036,DELETE_ACCOUNT,7,1,0,1,1,false,2,1,229,DARK_PATTERN,BACKTRACKING
S037,CHANGE_PLAN,8,2,1,0,1,false,0,1,205,DARK_PATTERN,OBSTRUCTION
S038,CHECKOUT,7,2,0,0,1,false,0,1,193,DARK_PATTERN,REPEATED_PROMPTS
S039,SUBSCRIBE,6,2,1,0,0,false,0,1,159,DARK_PATTERN,RETENTION_INTERFERENCE
S040,SUBSCRIBE,7,3,1,0,1,false,0,1,184,DARK_PATTERN,REPEATED_PROMPTS
S041,CANCEL,8,2,2,1,2,true,3,1,263,DARK_PATTERN,BACKTRACKING
S042,CANCEL,7,1,2,1,1,true,2,1,217,DARK_PATTERN,FORCED_ACTION
S043,DELETE_ACCOUNT,10,3,0,1,2,true,2,1,336,DARK_PATTERN,OBSTRUCTION
S044,CHANGE_PLAN,7,2,2,0,1,false,0,1,198,DARK_PATTERN,RETENTION_INTERFERENCE
S045,CHECKOUT,8,3,0,0,1,false,0,1,224,DARK_PATTERN,REPEATED_PROMPTS
S046,DECLINE_OFFER,7,2,2,0,1,false,2,1,187,DARK_PATTERN,RETENTION_INTERFERENCE
S047,CANCEL,11,4,3,1,3,true,4,1,352,DARK_PATTERN,DIFFICULT_CANCELLATION
S048,SUBSCRIBE,6,1,0,0,0,false,0,1,144,SUSPICIOUS,EXCESSIVE_STEPS
S049,DELETE_ACCOUNT,6,0,0,1,0,true,1,1,176,SUSPICIOUS,FORCED_ACTION
S050,CANCEL,5,1,2,0,1,false,2,0,139,SUSPICIOUS,RETENTION_INTERFERENCE
