domain	clickable_num	auto_type	type	css_selector	text	raw_html
cherrymx.de	0	opt-in option	opt-in option	div[class*="cookie"] span[class*="btn"]	ACCEPT	<span class="cta btn secondary" data-cookie="button">AKZEPTIEREN</span>
cherrymx.de	1	duplicate	duplicate	div[class*="cookie"] span[class*="btn"]	ACCEPT	<span class="cta btn secondary" data-cookie="button">AKZEPTIEREN</span>
cherrymx.de	2	opt-in option	opt-in option	div[class*="cookie"] [class*="accept"]	ACCEPT	<div class="col-md-4 cookie-notification_accept">                                                <span class="cta btn secondary" data-cookie="button">AKZEPTIEREN</span>                                        </div>
philipkingsley.co.uk	0	opt-in option	opt-in option	#notice-cookie-block button 	ACCEPT & CONTINUE	<button id="btn-cookie-allow" class="action allow primary">Accept &amp; Continue</button>
philipkingsley.co.uk	1	policy link	policy link	#notice-cookie-block a	COOKIES POLICY	<a href="https://www.philipkingsley.co.uk/customer-services/cookies-policy/">COOKIES POLICY</a>
cptnacional.org.br	0	policy link	policy link	div[class*="cookie"] a	more information	<a href="/politica-de-cookies">mais informações</a>
cptnacional.org.br	1	opt-in option	opt-in option	div[class*="cookie"] [class*="accept"]	To accept	<div class="jb-accept btn red">Aceitar</div>
webstaqram.com	0	close option	close option	#onetrust-consent-sdk button 		<button class="onetrust-close-btn-handler onetrust-close-btn-ui banner-close-button ot-close-icon" aria-label="Close" tabindex="0"></button>
webstaqram.com	1	opt-out option	opt-out option	#onetrust-consent-sdk button 	Do Not Accept	<button id="onetrust-reject-all-handler" tabindex="0">Do Not Accept</button>
webstaqram.com	2	opt-in option	opt-in option	#onetrust-consent-sdk button 	Accept All Cookies	<button id="onetrust-accept-btn-handler" tabindex="0">Accept All Cookies</button>
webstaqram.com	3	more options	more options	#onetrust-consent-sdk button 	Cookies Settings	<button id="onetrust-pc-btn-handler" tabindex="0" class="cookie-setting-link">Cookies Settings</button>
webstaqram.com	4	duplicate	duplicate	#onetrust-consent-sdk [class*="close"]		<button class="onetrust-close-btn-handler onetrust-close-btn-ui banner-close-button ot-close-icon" aria-label="Close" tabindex="0"></button>
