collection_num	domain	type	timestamp	num_cookies	num_id_like	num_first_party	num_third_party
0	cherrymx.de	initial	2022-02-13 11:51:14	6	0	6	0
1	cherrymx.de	opt-out option	2022-02-13 11:51:17	6	0	6	0
2	cherrymx.de	opt-in option	2022-02-13 11:52:03	7	0	7	0
3	philipkingsley.co.uk	initial	2022-02-13 11:54:11	31	5	30	1
4	philipkingsley.co.uk	opt-out option	2022-02-13 11:54:18	31	5	30	1
5	philipkingsley.co.uk	opt-in option	2022-02-13 11:55:03	32	6	31	1
6	cptnacional.org.br	initial	2022-02-13 11:58:46	4	1	4	0
7	cptnacional.org.br	opt-out option	2022-02-13 11:58:50	4	1	4	0
8	cptnacional.org.br	opt-in option	2022-02-13 11:59:40	5	1	5	0
9	webstaqram.com	initial	2022-02-13 12:04:13	92	56	0	92
10	webstaqram.com	opt-out option	2022-02-13 12:04:19	92	56	0	92
11	webstaqram.com	opt-in option	2022-02-13 12:05:01	93	56	0	93
12	webstaqram.com	close option	2022-02-13 12:05:39	93	54	0	93
13	themesquare.com	initial	2022-02-13 12:06:46	3	1	3	0
14	themesquare.com	opt-out option	2022-02-13 12:06:47	3	1	3	0
15	themesquare.com	opt-in option	2022-02-13 12:07:25	4	1	4	0
16	docpath.com	initial	2022-02-13 12:08:36	22	8	13	9
17	docpath.com	opt-out option	2022-02-13 12:08:40	22	8	13	9
18	docpath.com	opt-in option	2022-02-13 12:09:25	24	8	13	11
19	docpath.com	close option	2022-02-13 12:10:05	17	7	8	9
20	eyupsabrituncer.com	initial	2022-02-13 12:13:17	57	31	15	42
21	eyupsabrituncer.com	opt-out option	2022-02-13 12:13:19	57	31	15	42
22	rbx.gg	initial	2022-02-13 12:14:33	18	10	10	8
23	rbx.gg	opt-out option	2022-02-13 12:14:40	19	11	11	8
24	rbx.gg	opt-in option	2022-02-13 12:15:22	104	65	14	90
25	veygo.com	initial	2022-02-13 12:21:39	5	2	3	2
26	veygo.com	opt-out option	2022-02-13 12:21:49	4	2	2	2
27	veygo.com	opt-in option	2022-02-13 12:22:28	17	7	12	5
28	circleline.com	initial	2022-02-13 12:23:16	87	51	32	55
29	circleline.com	opt-out option	2022-02-13 12:23:23	87	51	32	55
30	circleline.com	opt-in option	2022-02-13 12:24:08	88	50	33	55
31	signeasy.com	initial	2022-02-13 12:24:49	21	5	17	4
32	signeasy.com	opt-out option	2022-02-13 12:24:51	21	5	17	4
33	signeasy.com	opt-in option	2022-02-13 12:25:30	21	5	17	4
34	spio.de	initial	2022-02-13 12:29:04	2	1	0	2
35	spio.de	opt-out option	2022-02-13 12:29:17	3	1	1	2
36	spio.de	opt-in option	2022-02-13 12:31:06	5	1	3	2
37	net-a-porter.com	initial	2022-02-13 12:35:13	18	7	17	1
