collection_num	cookie_num	name	value	domain	path	expires	size	httponly	secure	samesite	raw_cookie
0	0	__utma	140468577.1831801978.1644753050.1644753050.1644753050.1	.cherrymx.de	/	1707825050	61	0	0	None	{'domain': '.cherrymx.de', 'expires': 1707825050, 'httpOnly': False, 'name': '__utma', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': False, 'size': 61, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '140468577.1831801978.1644753050.1644753050.1644753050.1'}
0	1	__utmc	140468577	.cherrymx.de	/	-1	15	0	0	None	{'domain': '.cherrymx.de', 'expires': -1, 'httpOnly': False, 'name': '__utmc', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': True, 'size': 15, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '140468577'}
0	2	__utmz	140468577.1644753050.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none)	.cherrymx.de	/	1660521050	76	0	0	None	{'domain': '.cherrymx.de', 'expires': 1660521050, 'httpOnly': False, 'name': '__utmz', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': False, 'size': 76, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '140468577.1644753050.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none)'}
0	3	__utmt	1	.cherrymx.de	/	1644753650	7	0	0	None	{'domain': '.cherrymx.de', 'expires': 1644753650, 'httpOnly': False, 'name': '__utmt', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': False, 'size': 7, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '1'}
0	4	__utmb	140468577.1.10.1644753050	.cherrymx.de	/	1644754850	31	0	0	None	{'domain': '.cherrymx.de', 'expires': 1644754850, 'httpOnly': False, 'name': '__utmb', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': False, 'size': 31, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '140468577.1.10.1644753050'}
0	5	_fbp	fb.1.1644753050418.1321592172	.cherrymx.de	/	1652529050	33	0	0	Lax	{'domain': '.cherrymx.de', 'expires': 1652529050, 'httpOnly': False, 'name': '_fbp', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'sameSite': 'Lax', 'secure': False, 'session': False, 'size': 33, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': 'fb.1.1644753050418.1321592172'}
1	0	__utma	140468577.1831801978.1644753050.1644753050.1644753050.1	.cherrymx.de	/	1707825050	61	0	0	None	{'domain': '.cherrymx.de', 'expires': 1707825050, 'httpOnly': False, 'name': '__utma', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': False, 'size': 61, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '140468577.1831801978.1644753050.1644753050.1644753050.1'}
1	1	__utmc	140468577	.cherrymx.de	/	-1	15	0	0	None	{'domain': '.cherrymx.de', 'expires': -1, 'httpOnly': False, 'name': '__utmc', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': True, 'size': 15, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '140468577'}
1	2	__utmz	140468577.1644753050.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none)	.cherrymx.de	/	1660521050	76	0	0	None	{'domain': '.cherrymx.de', 'expires': 1660521050, 'httpOnly': False, 'name': '__utmz', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': False, 'size': 76, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '140468577.1644753050.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none)'}
1	3	__utmt	1	.cherrymx.de	/	1644753650	7	0	0	None	{'domain': '.cherrymx.de', 'expires': 1644753650, 'httpOnly': False, 'name': '__utmt', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': False, 'size': 7, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '1'}
1	4	__utmb	140468577.1.10.1644753050	.cherrymx.de	/	1644754850	31	0	0	None	{'domain': '.cherrymx.de', 'expires': 1644754850, 'httpOnly': False, 'name': '__utmb', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'secure': False, 'session': False, 'size': 31, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': '140468577.1.10.1644753050'}
1	5	_fbp	fb.1.1644753050418.1321592172	.cherrymx.de	/	1652529050	33	0	0	Lax	{'domain': '.cherrymx.de', 'expires': 1652529050, 'httpOnly': False, 'name': '_fbp', 'path': '/', 'priority': 'Medium', 'sameParty': False, 'sameSite': 'Lax', 'secure': False, 'session': False, 'size': 33, 'sourcePort': 443, 'sourceScheme': 'Secure', 'value': 'fb.1.1644753050418.1321592172'}
