domain	type	auto_value	value
cherrymx.de	DP1	True	True
cherrymx.de	DP2	False	False
cherrymx.de	DP3	False	False
cherrymx.de	DP4	False	False
cherrymx.de	DP5	False	False
cherrymx.de	DP6	False	False
cherrymx.de	DP7	False	False
cherrymx.de	DP8	False	False
cherrymx.de	time to reject cookies manually	2.5279048	2.5279048
cherrymx.de	number of clicks to reject cookies	0	0
cherrymx.de	DP10	unconfirmed	True
cherrymx.de	DP12	unconfirmed	False
cherrymx.de	DP13	unconfirmed	False
cherrymx.de	DP14	unconfirmed	False
cherrymx.de	DP15	unconfirmed	False
solventa.co	no cookie dialog	True	True
signaturetravelnetwork.com	no cookie dialog	True	True
pioneer.co.in	no cookie dialog	True	True
goldenchance.ir	no cookie dialog	True	True
philipkingsley.co.uk	DP1	True	True
philipkingsley.co.uk	DP2	False	False
philipkingsley.co.uk	DP3	False	False
philipkingsley.co.uk	DP4	False	False
philipkingsley.co.uk	DP5	False	False
philipkingsley.co.uk	DP6	False	False
philipkingsley.co.uk	DP7	False	False
philipkingsley.co.uk	DP8	False	False
philipkingsley.co.uk	time to reject cookies manually	7.114688	7.114688
philipkingsley.co.uk	number of clicks to reject cookies	0	0
philipkingsley.co.uk	DP10	unconfirmed	True
philipkingsley.co.uk	DP12	unconfirmed	False
philipkingsley.co.uk	DP13	unconfirmed	False
philipkingsley.co.uk	DP14	unconfirmed	False
philipkingsley.co.uk	DP15	unconfirmed	False
officialvancouvercanucks.com	no cookie dialog	True	True
angryip.com	no cookie dialog	True	True
hopster.com	no cookie dialog	True	True
nengyuanjie.net	no cookie dialog	True	True
closetorganization.biz	no cookie dialog	True	True
handlery.com	no cookie dialog	True	True
forum2go.nl	no cookie dialog	True	True
cptnacional.org.br	DP1	True	True
cptnacional.org.br	DP2	False	False
cptnacional.org.br	DP3	False	False
cptnacional.org.br	DP4	True	True
cptnacional.org.br	DP5	False	False
cptnacional.org.br	DP6	False	False
cptnacional.org.br	DP7	False	False
cptnacional.org.br	DP8	False	False
cptnacional.org.br	time to reject cookies manually	4.00921549999998	4.00921549999998
cptnacional.org.br	number of clicks to reject cookies	0	0
cptnacional.org.br	DP10	unconfirmed	True
cptnacional.org.br	DP12	unconfirmed	False
cptnacional.org.br	DP13	unconfirmed	False
cptnacional.org.br	DP14	unconfirmed	False
cptnacional.org.br	DP15	unconfirmed	False
ishanmishra.in	no cookie dialog	True	True
inrdeals.com	no cookie dialog	True	True
animalfactguide.com	no cookie dialog	True	True
theoklahomaeagle.net	no cookie dialog	True	True
studystore.nl	no cookie dialog	True	True
raceinstitute.in	no cookie dialog	True	True
bungeiweb.net	no cookie dialog	True	True
webstaqram.com	DP1	False	False
webstaqram.com	DP2	False	False
webstaqram.com	DP3	True	True
webstaqram.com	DP4	False	False
webstaqram.com	DP5	True	True
webstaqram.com	DP6	True	True
webstaqram.com	DP7	False	False
webstaqram.com	DP8	False	False
webstaqram.com	time to reject cookies manually	5.29588680000006	5.29588680000006
webstaqram.com	number of clicks to reject cookies	1	1
webstaqram.com	DP10	unconfirmed	False
webstaqram.com	DP12	unconfirmed	False
webstaqram.com	DP13	unconfirmed	False
webstaqram.com	DP14	unconfirmed	False
webstaqram.com	DP15	unconfirmed	False
rsfh.com	no cookie dialog	True	True
vesiletunnecat.com	no cookie dialog	True	True
themesquare.com	DP1	True	True
themesquare.com	DP2	False	False
themesquare.com	DP3	False	False
themesquare.com	DP4	False	False
themesquare.com	DP5	False	False
themesquare.com	DP6	False	False
themesquare.com	DP7	False	False
themesquare.com	DP8	False	False
themesquare.com	time to reject cookies manually	1.46768439999994	1.46768439999994
themesquare.com	number of clicks to reject cookies	0	0
themesquare.com	DP10	unconfirmed	True
themesquare.com	DP12	unconfirmed	False
themesquare.com	DP13	unconfirmed	False
themesquare.com	DP14	unconfirmed	False
themesquare.com	DP15	unconfirmed	False
letterpile.com	no cookie dialog	True	True
docpath.com	DP1	False	False
docpath.com	DP2	True	True
docpath.com	DP3	True	True
docpath.com	DP4	True	True
docpath.com	DP5	True	True
docpath.com	DP6	True	True
docpath.com	DP7	True	True
docpath.com	DP8	False	False
docpath.com	time to reject cookies manually	3.83954990000007	3.83954990000007
docpath.com	number of clicks to reject cookies	3	3
docpath.com	DP10	unconfirmed	True
docpath.com	DP12	unconfirmed	False
docpath.com	DP13	unconfirmed	False
docpath.com	DP14	unconfirmed	False
docpath.com	DP15	unconfirmed	False
zagopod.com	no cookie dialog	True	True
big3.com	no cookie dialog	True	True
studiobabelsberg.com	no cookie dialog	True	True
tmw.ee	no cookie dialog	True	True
profishintl.net	no cookie dialog	True	True
eyupsabrituncer.com	DP1	False	False
eyupsabrituncer.com	DP2	False	False
eyupsabrituncer.com	DP3	False	False
eyupsabrituncer.com	DP4	True	True
eyupsabrituncer.com	DP5	False	False
eyupsabrituncer.com	DP6	False	False
eyupsabrituncer.com	DP7	True	True
eyupsabrituncer.com	DP8	False	False
eyupsabrituncer.com	time to reject cookies manually	1.64217310000004	1.64217310000004
eyupsabrituncer.com	number of clicks to reject cookies	0	0
eyupsabrituncer.com	DP10	unconfirmed	True
eyupsabrituncer.com	DP12	unconfirmed	False
eyupsabrituncer.com	DP13	unconfirmed	False
eyupsabrituncer.com	DP14	unconfirmed	False
eyupsabrituncer.com	DP15	unconfirmed	False
puzzle.com.sa	no cookie dialog	True	True
filmyzilla.watch	no cookie dialog	True	True
rbx.gg	DP1	False	False
rbx.gg	DP2	True	True
rbx.gg	DP3	True	True
rbx.gg	DP4	False	False
rbx.gg	DP5	True	True
rbx.gg	DP6	False	False
rbx.gg	DP7	False	False
rbx.gg	DP8	False	False
rbx.gg	time to reject cookies manually	6.89468669999997	6.89468669999997
rbx.gg	number of clicks to reject cookies	2	2
rbx.gg	DP10	unconfirmed	True
rbx.gg	DP12	unconfirmed	False
rbx.gg	DP13	unconfirmed	False
rbx.gg	DP14	unconfirmed	False
rbx.gg	DP15	unconfirmed	False
sanctusonline.com	no cookie dialog	True	True
twinriver.com	no cookie dialog	True	True
healthy-magazine.co.uk	no cookie dialog	True	True
bakertilly.ua	no cookie dialog	True	True
originaltommys.com	no cookie dialog	True	True
ucne.edu	no cookie dialog	True	True
tusempleosmail.com	no cookie dialog	True	True
chalmersindustries.com	no cookie dialog	True	True
djicorp.com	no cookie dialog	True	True
ruhnatural.com	no cookie dialog	True	True
veygo.com	DP1	False	False
veygo.com	DP2	False	False
veygo.com	DP3	False	False
veygo.com	DP4	False	False
veygo.com	DP5	True	True
veygo.com	DP6	False	False
veygo.com	DP7	False	False
veygo.com	DP8	False	False
veygo.com	time to reject cookies manually	9.57054710000011	9.57054710000011
veygo.com	number of clicks to reject cookies	2	2
veygo.com	DP10	unconfirmed	True
veygo.com	DP12	unconfirmed	False
veygo.com	DP13	unconfirmed	False
veygo.com	DP14	unconfirmed	False
veygo.com	DP15	unconfirmed	False
bdbuynsell.com	no cookie dialog	True	True
circleline.com	DP1	True	True
circleline.com	DP2	False	False
circleline.com	DP3	False	False
circleline.com	DP4	False	False
circleline.com	DP5	False	False
circleline.com	DP6	False	False
circleline.com	DP7	False	False
circleline.com	DP8	False	False
circleline.com	time to reject cookies manually	6.56011839999997	6.56011839999997
circleline.com	number of clicks to reject cookies	0	0
circleline.com	DP10	unconfirmed	True
circleline.com	DP12	unconfirmed	False
circleline.com	DP13	unconfirmed	False
circleline.com	DP14	unconfirmed	False
circleline.com	DP15	unconfirmed	False
signeasy.com	DP1	True	True
signeasy.com	DP2	False	False
signeasy.com	DP3	False	False
signeasy.com	DP4	False	False
signeasy.com	DP5	False	False
signeasy.com	DP6	False	False
signeasy.com	DP7	False	False
signeasy.com	DP8	False	False
signeasy.com	time to reject cookies manually	1.29347989999997	1.29347989999997
signeasy.com	number of clicks to reject cookies	0	0
signeasy.com	DP10	unconfirmed	True
signeasy.com	DP12	unconfirmed	False
signeasy.com	DP13	unconfirmed	False
signeasy.com	DP14	unconfirmed	False
signeasy.com	DP15	unconfirmed	False
orderpickles.in	no cookie dialog	True	True
melaleuca.com.cn	no cookie dialog	True	True
wikishia.net	no cookie dialog	True	True
bbspharm.com	no cookie dialog	True	True
tustinca.org	no cookie dialog	True	True
daj.co.jp	no cookie dialog	True	True
spio.de	DP1	False	False
spio.de	DP2	True	True
spio.de	DP3	False	False
spio.de	DP4	True	True
spio.de	DP5	True	True
spio.de	DP6	True	True
spio.de	DP7	True	False
spio.de	DP8	False	False
spio.de	time to reject cookies manually	12.7465621000001	12.7465621000001
spio.de	number of clicks to reject cookies	1	1
spio.de	DP10	unconfirmed	False
spio.de	DP12	unconfirmed	False
spio.de	DP13	unconfirmed	False
spio.de	DP14	unconfirmed	False
spio.de	DP15	unconfirmed	False
knowfashionstyle.com	no cookie dialog	True	True
96225.com	no cookie dialog	True	True
grandsitedefrance.com	no cookie dialog	True	True
expoco.com	no cookie dialog	True	True
beunpackaged.com	no cookie dialog	True	True
net-a-porter.com	DP1	False	False
net-a-porter.com	DP2	True	True
net-a-porter.com	DP3	True	True
net-a-porter.com	DP4	False	False
net-a-porter.com	DP5	True	True
net-a-porter.com	DP6	False	False
net-a-porter.com	DP7	False	False
net-a-porter.com	DP8	False	False
net-a-porter.com	time to reject cookies manually	6.75124039999992	6.75124039999992
net-a-porter.com	number of clicks to reject cookies	1	1
net-a-porter.com	DP10	unconfirmed	False
net-a-porter.com	DP12	unconfirmed	False
net-a-porter.com	DP13	unconfirmed	False
net-a-porter.com	DP14	unconfirmed	False
net-a-porter.com	DP15	unconfirmed	False
infomaker.io	no cookie dialog	True	True
meqasa.com	no cookie dialog	True	True
selligent.com	DP1	False	False
selligent.com	DP2	False	False
selligent.com	DP3	False	False
selligent.com	DP4	False	False
selligent.com	DP5	True	True
selligent.com	DP6	False	False
selligent.com	DP7	False	False
selligent.com	DP8	False	False
selligent.com	time to reject cookies manually	9.93791020000026	9.93791020000026
selligent.com	number of clicks to reject cookies	2	2
selligent.com	DP10	unconfirmed	True
selligent.com	DP12	unconfirmed	False
selligent.com	DP13	unconfirmed	False
selligent.com	DP14	unconfirmed	False
selligent.com	DP15	unconfirmed	False
serverbox.ind.in	no cookie dialog	True	True
sbcusd.com	no cookie dialog	True	True
kuranvemeali.com	no cookie dialog	True	True
globaltalkdaily.com	no cookie dialog	True	True
coronaca.gov	no cookie dialog	True	True
vdforum.ru	no cookie dialog	True	True
equalityohio.org	no cookie dialog	True	True
espalda.org	no cookie dialog	True	True
careersarkarijobs.com	no cookie dialog	True	True
ilgeniodellostreaming.bet	no cookie dialog	True	True
qj888.cn	no cookie dialog	True	True
electric-skateboard.builders	no cookie dialog	True	True
cnvrg.io	no cookie dialog	True	True
yuanta.co.th	no cookie dialog	True	True
rutor-search.info	no cookie dialog	True	True
audi.it	DP1	False	False
audi.it	DP2	False	False
audi.it	DP3	False	False
audi.it	DP4	True	True
audi.it	DP5	True	True
audi.it	DP6	True	True
audi.it	DP7	False	False
audi.it	DP8	False	False
audi.it	time to reject cookies manually	3.48670960000027	3.48670960000027
audi.it	number of clicks to reject cookies	0	0
audi.it	DP10	unconfirmed	False
audi.it	DP12	unconfirmed	False
audi.it	DP13	unconfirmed	False
audi.it	DP14	unconfirmed	False
audi.it	DP15	unconfirmed	False
ignorethecode.net	no cookie dialog	True	True
jonesreport.com	no cookie dialog	True	True
actualauction.com	no cookie dialog	True	True
vertexsmb.com	DP1	True	True
vertexsmb.com	DP2	False	False
vertexsmb.com	DP3	False	False
vertexsmb.com	DP4	True	True
vertexsmb.com	DP5	False	False
vertexsmb.com	DP6	False	False
vertexsmb.com	DP7	False	False
vertexsmb.com	DP8	True	True
vertexsmb.com	time to reject cookies manually	5.42483979999997	5.42483979999997
vertexsmb.com	number of clicks to reject cookies	1	1
vertexsmb.com	DP10	unconfirmed	True
vertexsmb.com	DP12	unconfirmed	False
vertexsmb.com	DP13	unconfirmed	False
vertexsmb.com	DP14	unconfirmed	False
vertexsmb.com	DP15	unconfirmed	False
lsfoods.com	no cookie dialog	True	True
myhoteltrip.com	no cookie dialog	True	True
dailycivil.com	DP1	False	False
dailycivil.com	DP2	True	True
dailycivil.com	DP3	True	True
dailycivil.com	DP4	True	True
dailycivil.com	DP5	True	True
dailycivil.com	DP6	False	False
dailycivil.com	DP7	False	False
dailycivil.com	DP8	False	False
dailycivil.com	time to reject cookies manually	8.50620040000013	8.50620040000013
dailycivil.com	number of clicks to reject cookies	2	2
dailycivil.com	DP10	unconfirmed	True
dailycivil.com	DP12	unconfirmed	False
dailycivil.com	DP13	unconfirmed	False
dailycivil.com	DP14	unconfirmed	False
dailycivil.com	DP15	unconfirmed	False
i3investor.com	DP1	True	True
i3investor.com	DP2	False	False
i3investor.com	DP3	False	False
i3investor.com	DP4	False	False
i3investor.com	DP5	False	False
i3investor.com	DP6	False	False
i3investor.com	DP7	False	False
i3investor.com	DP8	False	False
i3investor.com	time to reject cookies manually	3.56574899999987	3.56574899999987
i3investor.com	number of clicks to reject cookies	0	0
i3investor.com	DP10	unconfirmed	True
i3investor.com	DP12	unconfirmed	False
i3investor.com	DP13	unconfirmed	False
i3investor.com	DP14	unconfirmed	False
i3investor.com	DP15	unconfirmed	False
rmutp.ac.th	DP1	True	True
rmutp.ac.th	DP2	False	False
rmutp.ac.th	DP3	False	False
rmutp.ac.th	DP4	True	True
rmutp.ac.th	DP5	False	False
rmutp.ac.th	DP6	False	False
rmutp.ac.th	DP7	False	False
rmutp.ac.th	DP8	False	False
rmutp.ac.th	time to reject cookies manually	3.08676149999974	3.08676149999974
rmutp.ac.th	number of clicks to reject cookies	0	0
rmutp.ac.th	DP10	unconfirmed	True
rmutp.ac.th	DP12	unconfirmed	False
rmutp.ac.th	DP13	unconfirmed	False
rmutp.ac.th	DP14	unconfirmed	False
rmutp.ac.th	DP15	unconfirmed	False
realmeservice.com	no cookie dialog	True	True
artlosangelesfair.com	no cookie dialog	True	True
nooka.com	no cookie dialog	True	True
zszywka.pl	DP1	False	False
zszywka.pl	DP2	True	True
zszywka.pl	DP3	True	True
zszywka.pl	DP4	False	False
zszywka.pl	DP5	True	True
zszywka.pl	DP6	False	False
zszywka.pl	DP7	True	True
zszywka.pl	DP8	False	False
